Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Mon Mar 15 22:13:07 EDT 2021,HorizontalLineInterface.java,1615860787728,21664,0,(R)1(I)5(R)4(I)6(F)2(I)1,0.631578947368421,0.0,0.0,10.526315789473683,0.0,0.0,0.9047619047619048,0.0,0.0,0.09523809523809523,0.0,0.23809523809523808,0.5714285714285714,0.0,[]
,/modelData/A0UserStudy2010.arff,Mon Mar 15 22:13:07 EDT 2021,HorizontalLineInterface.java, 1615860787728
2,,Mon Mar 15 22:13:29 EDT 2021,HorizontalLineInterface.java,1615860809417,6232,6232,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,[]
3,,Mon Mar 15 22:13:36 EDT 2021,XLine.java,1615860816126,29610,0,(I)1(F)2(I)3(F)2(I)5,0.6923076923076923,0.0,0.0,30.76923076923077,0.0,0.0,0.4482758620689655,0.0,0.0,0.13793103448275862,0.0,0.0,0.3103448275862069,0.0,[]
4,,Mon Mar 15 22:14:05 EDT 2021,XLine.java,1615860845991,4476,4476,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
5,,Mon Mar 15 22:14:10 EDT 2021,XLine.java,1615860850669,7767,7767,(I)8(R)1(I)5(R)4(I)5,0.782608695652174,0.0,0.0,0.0,0.0,0.0,3.2857142857142856,0.0,0.0,0.0,0.0,0.7142857142857143,2.5714285714285716,0.0,[]
6,,Mon Mar 15 22:14:18 EDT 2021,XLine.java,1615860858451,10797,0,(F)2(I)3(R)1(I)1(R)1(I)2(R)1(I)6,0.7058823529411765,0.0,0.0,11.76470588235294,0.0,0.0,1.7,0.0,0.0,0.2,0.0,0.3,1.2,0.0,[]
7,,Mon Mar 15 22:14:29 EDT 2021,XLine.java,1615860869813,7711,7711,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,[]
8,,Mon Mar 15 22:14:37 EDT 2021,XLine.java,1615860877817,4865,4865,(I)17(R)3(I)3(R)2,0.8,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,1.25,5.0,0.0,[]
9,,Mon Mar 15 22:14:43 EDT 2021,XLine.java,1615860883085,9489,9489,(I)3(R)1(I)1(R)1(I)19,0.92,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.2222222222222222,2.5555555555555554,0.0,[]
10,,Mon Mar 15 22:14:52 EDT 2021,XLine.java,1615860892733,6468,6468,(I)2(R)1(I)21(R)1,0.92,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,3.8333333333333335,0.0,[]
11,,Mon Mar 15 22:14:59 EDT 2021,XLine.java,1615860899353,4804,4804,(R)1(I)6(R)1(I)1(R)1(I)15,0.88,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.75,5.5,0.0,[]
12,,Mon Mar 15 22:15:05 EDT 2021,XLine.java,1615860905453,10477,0,(I)15(F)2(I)2,0.8947368421052632,0.0,0.0,10.526315789473683,0.0,0.0,1.9,0.0,0.0,0.2,0.0,0.0,1.7,0.0,[]
13,,Mon Mar 15 22:15:16 EDT 2021,XLine.java,1615860916212,55690,0,(I)3(F)1(I)3(F)1(I)5(R)3(I)7(R)2,0.72,0.0,0.0,8.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.03636363636363636,0.0,0.09090909090909091,0.32727272727272727,0.0,[]
